scope;key;field;eng;cat;spa;revisat
alert;parseErrorFieldContent;text;Parse error: {0} The field content is:\n{1};Error d'anÖlisi: {0} El contingut del camp Çs:\n{1};Error de an†lisis: {0} El contenido del campo es:\n{1};si
DialogFormatConsistency;patternTime;label;Pattern:;Patr¢:;Patr¢n:;s
dataQuality;logicalConsistency;help;Performs a logical consistency check to identify contradictions and ensure coherent data relationships.;Fa una comprovaci¢ de consistäncia lïgica per identificar contradiccions i garantir relacions coherents entre les dades.;Realiza una comprobaci¢n de consistencia l¢gica para identificar contradicciones y garantizar relaciones coherentes entre los datos.;si
DialogFilterRowsByTime;period;title;Period;Per°ode;Periodo;s
DialogUncertainty;period;text;Period:;Per°ode:;Periodo:;s
DialogCreateColumns;personalized;label;Personalized;Personalitzat;Personalizado;s
DialogAggregateColumns;personalized;label;Personalized;Personalitzat;Personalizado;s
DialogColumnsCalculator;personalized;label;Personalized;Personalitzat;Personalizado;s
DialogMultiCreateSTAINaturalist;photos;label;Photos;Fotos;Fotos;s
DialogBarPlot;pie;label;Pie;Sectors;Sectores;s
TableOperations;PivotTable;description;Pivot table;Taula dinÖmica;Tabla din†mica;si
DialogUploadObservations;placeDescription;label;Place description:;Descripci¢ del lloc:;Descripci¢n del lugar:;s
alert;selectImageUrlColumn;text;Please, select a column that has urls to images in it;Seleccioneu una columna que contingui URL d'imatges;Seleccione una columna que contenga URL de im†genes;si
DialogBarPlot;plotType;title;Plot type:;Tipus de grÖfic:;Tipo de gr†fico:;s
DialogAddColumnBBox;pointCoordinates;label;Point coordinates;Coordenades del punt;Coordenadas del punto;s
DialogSaveLayer;pointCoordinates;label;Point coordinates:;Coordenades del punt:;Coordenadas del punto:;s
DialogAddColumnPnt;pointCoordinates;label;Point coordinates:;Coordenades del punt:;Coordenadas del punto:;s
DialogGeospatialFilterRowsByDistance;positionSource;title;Position source;Font de la posici¢;Fuente de la posici¢n;s
DialogSaveLayer;position;title;Position:;Posici¢:;Posici¢n:;s
DialogUploadObservations;position;title;Position:;Posici¢:;Posici¢n:;s
DialogQualityPositionalQuality;positionalAccuracy;title;Positional accuracy;Exactitud posicional;Exactitud posicional;s
DialogUncertainty;positionalGrouping;title;Positional grouping;Agrupaci¢ posicional;Agrupaci¢n posicional;s
dataQuality;positionalQuality;description;Positional quality;Qualitat posicional;Calidad posicional;si
DialogQualityPositionalQuality;title;title;Positional quality;Qualitat posicional;Calidad posicional;s
DialogQualityPositionalQuality;positionalValidity;title;Positional validity;Validesa posicional;Validez posicional;s
DialogFormatConsistency;prefixLength;label;Prefix length (digits);Longitud del prefix (d°gits);Longitud del prefijo (d°gitos);s
clarification;pressMouseDragConnect;text;Press the mouse botton on the starting node (child node), and drag and drop the mouse on the end node (parent node).;Premeu el bot¢ del ratol° sobre el node inicial (node fill), arrossegueu-lo i deixeu-lo anar sobre el node final (node pare).;Presione el bot¢n del rat¢n sobre el nodo inicial (nodo hijo), arr†strelo y suÇltelo sobre el nodo final (nodo padre).;s
DialogFilterRowsByTime;property;label;Property:;Propietat:;Propiedad:;s
dataQuality;qualityResultsViewer;description;Quality results viewer;Visor dels resultats de qualitat;Visor de los resultados de calidad;si
tableStatisticsVisualize;RadarPlot;description;Radar Plot;GrÖfic de radar;Gr†fico de radar;si
DialogRadarPlot;title;title;Radar plot;GrÖfic de radar;Gr†fico de radar;s
DialogFormatConsistency;range;button;Range;Interval;Intervalo;s
DialogQualityThematicQuality;range;label;Range;Interval;Intervalo;s
DialogOpenURLNetwork;recipe1m1;option;Recipe 1, cooking method 1: Understanding the concept of Datastream in STAplus;Recipe 1, cooking method 1: Understanding the concept of Datastream in STAplus;Recipe 1, cooking method 1: Understanding the concept of Datastream in STAplus;s
DialogOpenURLNetwork;recipe1m2;option;Recipe 1: cooking method 2: Visiting the same entity from different paths;Recipe 1: cooking method 2: Visiting the same entity from different paths;Recipe 1: cooking method 2: Visiting the same entity from different paths;s
DialogOpenURLNetwork;recipe11;option;Recipe 11: Pivoting a table, from values in the rows of a selected column to new columns;Recipe 11: Pivoting a table, from values in the rows of a selected column to new columns;Recipe 11: Pivoting a table, from values in the rows of a selected column to new columns;s
DialogOpenURLNetwork;recipe12;option;Recipe 12: Determining data quality of a sequence of observations from a Geopackage equivalent to a STA;Recipe 12: Determining data quality of a sequence of observations from a Geopackage equivalent to a STA;Recipe 12: Determining data quality of a sequence of observations from a Geopackage equivalent to a STA;s
DialogOpenURLNetwork;recipe2both;option;Recipe 2, both methods: Show the current evolution of a variable captured by a particular party;Recipe 2, both methods: Show the current evolution of a variable captured by a particular party;Recipe 2, both methods: Show the current evolution of a variable captured by a particular party;s
DialogOpenURLNetwork;recipe2m1;option;Recipe 2, cooking method 1: Recurrently selecting a row using entity identifiers;Recipe 2, cooking method 1: Recurrently selecting a row using entity identifiers;Recipe 2, cooking method 1: Recurrently selecting a row using entity identifiers;s
DialogOpenURLNetwork;recipe2m2;option;Recipe 2, cooking method 2: Filtering observations;Recipe 2, cooking method 2: Filtering observations;Recipe 2, cooking method 2: Filtering observations;s
DialogOpenURLNetwork;recipe3;option;Recipe 3: Show a map of all observation features in an STA service;Recipe 3: Show a map of all observation features in an STA service;Recipe 3: Show a map of all observation features in an STA service;s
DialogOpenURLNetwork;recipe4;option;Recipe 4: Add semantics (meaning) to a table and share, retrieve and store it;Recipe 4: Add semantics (meaning) to a table and share, retrieve and store it;Recipe 4: Add semantics (meaning) to a table and share, retrieve and store it;s
DialogOpenURLNetwork;recipe5a;option;Recipe 5a: Selecting temperatures from an area;Recipe 5a: Selecting temperatures from an area;Recipe 5a: Selecting temperatures from an area;s
DialogOpenURLNetwork;recipe5b;option;Recipe 5b:Selecting temperatures whose distance from a certain point is greater or lower than an established distance;Recipe 5b:Selecting temperatures whose distance from a certain point is greater or lower than an established distance;Recipe 5b:Selecting temperatures whose distance from a certain point is greater or lower than an established distance;s
DialogOpenURLNetwork;recipe6;option;Recipe 6: Creating a new stream of observations;Recipe 6: Creating a new stream of observations;Recipe 6: Creating a new stream of observations;s
DialogOpenURLNetwork;recipe7;option;Recipe 7: Connecting to a data catalogue and giving user feedback about a dataset;Recipe 7: Connecting to a data catalogue and giving user feedback about a dataset;Recipe 7: Connecting to a data catalogue and giving user feedback about a dataset;s
DialogOpenURLNetwork;recipe8;option;Recipe 8: Connecting to a S3 service and retreive and view a CSV file in a S3 bucket;Recipe 8: Connecting to a S3 service and retreive and view a CSV file in a S3 bucket;Recipe 8: Connecting to a S3 service and retreive and view a CSV file in a S3 bucket;s
DialogOpenURLNetwork;recipe9;option;Recipe 9: Drawing a stacked bar chart;Recipe 9: Drawing a stacked bar chart;Recipe 9: Drawing a stacked bar chart;s
DialogOpenURLNetwork;recipeSchemas;label;Recipe stored schemas:;Esquemes emmagatzemats de les receptes:;Esquemas almacenados de las recetas:;s
STAOperations;RangeSTA;description;Record range;Interval de registres;Intervalo de registros;si
STAOperations;RecursiveExpandSTA;description;Recursive Expand;Expansi¢ recursiva;Expansi¢n recursiva;si
DialogQualityMisclassificationMatrix;reference;label;Reference;Referäncia;Referencia;s
DialogQualityLogicalConsistency;referenceData;label;Reference data;Dades de referäncia;Datos de referencia;s
clarification;refreshCancelled;text;Refresh cancelled.;S'ha cancel˙lat l'actualitzaci¢.;Se ha cancelado la actualizaci¢n.;s
DialogOneValue;refreshTime;label;Refresh time ( not applicable with WebSub enabled ):;Temps de refresc ( no aplicable amb WebSub habilitat ):;Tiempo de refresco ( no aplicable con WebSub habilitado ):;s
DialogCountResults;refreshTime;label;Refresh time:;Temps d'actualitzaci¢:;Tiempo de actualizaci¢n:;s
clarification;reloadCsvCompleted;text;Reload CSV records and dependencies completed.;S'ha completat la recÖrrega dels registres CSV i les dependäncies.;Se ha completado la recarga de los registros CSV y las dependencias.;s
clarification;reloadCsv;text;Reload CSV records and dependencies...;S'estan tornant a carregar els registres CSV i les dependäncies...;Volviendo a cargar los registros CSV y las dependencias...;s
clarification;reloadOgcApiCompleted;text;Reload OGC API collections page and dependencies completed.;S'ha completat la recÖrrega de la pÖgina de les col˙leccions d'OGC API i les dependäncies.;Se ha completado la recarga de la p†gina de las colecciones de OGC API y las dependencias.;s
clarification;reloadOgcApi;text;Reload OGC API collections page and dependencies...;Tornant a carregar la pÖgina de col˙leccions d'OGC API i les dependäncies...;Volviendo a cargar la p†gina de colecciones de OGC API y las dependencias...;s
clarification;reloadOgcCswCompleted;text;Reload OGC CSW records and dependencies completed.;S'ha completat la recÖrrega dels registres OGC CSW i les dependäncies.;Se ha completado la recarga de los registros OGC CSW y las dependencias.;s
clarification;reloadOgcCsw;text;Reload OGC CSW records and dependencies...;S'estan tornant a carregar els registres OGC CSW i les dependäncies...;Volviendo a cargar los registros OGC CSW y las dependencias...;s
clarification;reloadStaHomeCompleted;text;Reload STA home page and dependencies completed.;S'ha completat la recÖrrega de la pÖgina d'inici d'STA i les dependäncies.;Se ha completado la recarga de la p†gina de inicio de STA y las dependencias.;s
clarification;reloadStaHome;text;Reload STA home page and dependencies...;Tornant a carregar la pÖgina d'inici d'STA i les dependäncies...;Volviendo a cargar la p†gina de inicio de STA y las dependencias...;s
DialogContextMenu;remove;button;Remove;Elimina;Eliminar;s
DialogEdgeContextMenu;remove;button;Remove;Elimina;Eliminar;s
DialogEdgeContextMenu;removeHelp;help;Remove a connection between two nodes;Elimina una connexi¢ entre dos nodes;Eliminar una conexi¢n entre dos nodos;s
DialogContextMenu;removeHelp;help;Remove a node and any connection to previous nodes;Elimina un node i qualsevol connexi¢ amb els nodes anteriors;Eliminar un nodo y cualquier conexi¢n con los nodos anteriores;s
DialogSeparateColumns;removeAlreadyPresent;label;Remove already present elements;Elimina els elements ja presents;Eliminar los elementos ya presentes;s
DialogContextMenu;rename;button;Rename;Reanomena;Renombrar;s
DialogContextMenu;renameHelp;help;"Renames de node.<hr> You can change the text by default to make it more explainatory. Do not rename ""One Value"" or ""Count"" nodes.";"Reanomena el node.<hr> Podeu canviar el text per defecte per fer-lo mÇs explicatiu. No reanomeneu els nodes ""Un valor"" ni ""Compta"".";"Renombra el nodo.<hr> Puede cambiar el texto por defecto para hacerlo m†s explicativo. No renombre los nodos ""Un valor"" ni ""Contar"".";s
DialogFormatConsistency;repeatPiece;label;Repeat the next piece this many times;Repetiu la peáa segÅent aquest nombre de vegades;Repita la pieza siguiente este n£mero de veces;s
DialogPivotTable;repeatedAgg;title;Repited values aggregated by:;Valors repetits agregats per:;Valores repetidos agregados por:;s
TableOperations;Replace;description;Replace;Substitueix;Sustituir;si
DialogReplaceTextInTable;replace;label;Replace:;Substitueix:;Reemplazar:;s
clarification;locationTimeout;text;Request location timeOut.;S'ha esgotat el temps de la sol˙licitud d'ubicaci¢.;Se ha agotado el tiempo de la solicitud de ubicaci¢n.;s
clarification;requestingToSta;text;Requesting {0} to STA...;S'estÖ sol˙licitant {0} a STA...;Solicitando {0} a STA...;s
clarification;requestingCsvUrl;text;Requesting CSV URL table...;S'estÖ sol˙licitant la taula de l'URL CSV...;Solicitando la tabla de la URL CSV...;s
clarification;requestingFeedback;text;Requesting Feedback...;S'estan sol˙licitant comentaris/suggeräncies...;Solicitando comentarios/sugerencias...;si
clarification;requestingFeedback;text;Requesting Feedback...;S'estan sol˙licitant comentaris/suggeriments...;Solicitando comentarios/sugerencias...;si
clarification;requestingOgcApi;text;Requesting OGC API collections page...;S'estÖ sol˙licitant la pÖgina de les col˙leccions d'OGC API...;Solicitando la p†gina de las colecciones de OGC API...;s
clarification;requestingOgcCsw;text;Requesting OGC CSW collections...;S'estan sol˙licitant les col˙leccions OGC CSW...;Solicitando las colecciones OGC CSW...;s
clarification;requestingStaPage;text;Requesting STA page...;S'estÖ sol˙licitant la pÖgina STA...;Solicitando la p†gina STA...;s
DialogSeparateColumns;result;title;Result;Resultat;Resultado;s
DialogUncertainty;resultColumn;label;Result Column:;Columna resultant:;Columna resultante:;s
TableOperations;guf;help;Retreives the geospatial user feedback related to the single row present in the table (e.g. a record forma CSW catalogue). It also allows for adding or editing feedback. It uses the NiMMbus repository and interface.;"Recupera els ""geospatial user feedback"" (comentaris/suggeriments)  relacionats amb l'£nica fila present a la taula (p. ex. un registre d'un catÖleg CSW). TambÇ permet afegir o editar comentaris. Utilitza el repositori i la interf°cie de NiMMbus.";"Recupera los comentarios ""geospatial user feedback"" (comentarios/sugerencias) con la £nica fila presente en la tabla (p. ej. un registro de un cat†logo CSW). TambiÇn permite a§adir o editar comentarios. Utiliza el repositorio y la interfaz de NiMMbus.";si
clarification;retrievingS3Metadata;text;Retrieving extra metadata from S3 Bucket. This may take some time...;S'estan recuperant les metadades addicionals del contenidor S3. Aixï podria trigar una estona...;Se est†n recuperando los metadatos adicionales del contenedor S3. Esto puede tardar un tiempo...;si
STAOperations;CountResultsSTA;help;Returns the total number of records returned by the API query without loading them in a table. Only with STA data. Requeres to be connected to a SensorThings API or a STAplus entity node. This node can not be connected to other dependend nodes.;Retorna el nombre total de registres que retorna la consulta a l'API sense carregar-los en una taula. NomÇs amb dades STA. Cal que estigui connectat a un node d'entitat SensorThings API o STAplus. Aquest node no es pot connectar a altres nodes dependents.;Devuelve el n£mero total de registros que devuelve la consulta a la API sin cargarlos en una tabla. Solo con datos STA. Requiere estar conectado a un nodo de entidad SensorThings API o STAplus. Este nodo no puede conectarse a otros nodos dependientes.;si
DialogScatterPlot;rightLabel;label;Right label:;Etiqueta de la dreta:;Etiqueta de la derecha:;s
DialogJoinTables;rowMatching;title;Row matching fields;Camps de coincidäncia de files;Campos de coincidencia de filas;s
DialogPivotTable;rows;title;Rows;Files;Filas;s
DialogTransposeTable;help;text;Rows become columns and columns become rows. Values of the header column become the new column names.;Les files es converteixen en columnes i les columnes en files. Els valors de la columna de capáalera esdevenen els noms de les columnes noves.;Las filas se convierten en columnas y las columnas en filas. Los valores de la columna de cabecera se convierten en los nuevos nombres de columna.;s
DialogS3Bucket;titleBucket;title;S3 Bucket;Bucket S3;Bucket S3;s
clarification;s3BucketContentCompleted;text;S3 Bucket content request completed.;S'ha completat la sol˙licitud del contingut del contenidor S3.;Se ha completado la solicitud del contenido del contenedor S3.;s
DialogS3Bucket;titleService;title;S3 Service;Servei S3;Servicio S3;s
clarification;s3BucketListCompleted;text;S3 Service bucket list request completed.;S'ha completat la sol˙licitud de la llista de contenidors del servei S3.;Se ha completado la solicitud de la lista de contenedores del servicio S3.;si
DialogS3Bucket;s3Service;label;S3 Service:;Servei S3:;Servicio S3:;s
DialogRadarPlot;savePng;button;Save as PNG;Desa com a PNG;Guardar como PNG;s
DialogSaveTable;saveCsv;button;Save CSV;Desa CSV;Guardar CSV;s
DialogSaveTable;saveCsvw;button;Save CSVW;Desa CSVW;Guardar CSVW;s
DialogSaveTable;saveDbf;button;Save DBF;Desa DBF;Guardar DBF;s
DialogSaveLayer;saveGeojson;button;Save GeoJSON;Desa GeoJSON;Guardar GeoJSON;s
TableOperations;SaveLayer;description;Save Layer;Desa la capa;Guardar la capa;si
TableOperations;SaveTable;description;Save Table;Desa la taula;Guardar la tabla;si
DialogSaveTable;title;title;Save table;Desa la taula;Guardar tabla;s
DialogSaveLayer;saveAsGeojson;title;Save table as GeoJSON;Desa la taula com a GeoJSON;Guardar la tabla como GeoJSON;s
STAOperations;UploadObservations;help;Saves some observations to a SensorThings API or a STAplus server.;Desa algunes observacions en un servidor SensorThings API o STAplus.;Guarda algunas observaciones en un servidor SensorThings API o STAplus.;si
STAOperations;CalculateStatisticsSTA;help;Saves statistics of Observations in SensorThings API or a STAplus server.;Desa les estad°stiques d'Observations a un servidor SensorThings API o STAplus.;Guarda las estad°sticas de Observations en un servidor SensorThings API o STAplus.;si
TableOperations;SaveLayer;help;Saves the table as a GeoJSON. It requires two columns with a latitude and longitude values.;Desa la taula com un GeoJSON. Requereix dues columnes amb valors de latitud i longitud.;Guarda la tabla como un GeoJSON. Requiere dos columnas con valores de latitud y longitud.;si
TableOperations;SaveTable;help;"Saves the table contained in the node as a CSV (and CSVW if the column definition is semantically enriched; see 'meaning').";"Desa la taula continguda en el node com a CSV (i CSVW si la definici¢ de les columnes estÖ enriquida semÖnticament; consulta 'significat').";"Guarda la tabla contenida en el nodo como CSV (y CSVW si la definici¢n de las columnas est† enriquecida sem†nticamente; consulta 'significado').";si
tableStatisticsVisualize;ScatterPlot;description;Scatter Plot;GrÖfic de dispersi¢;Gr†fico de dispersi¢n;si
DialogReplaceTextInTable;search;label;Search:;Cerca:;Buscar:;s
DialogUncertainty;seconds;label;Seconds;Segons;Segundos;s
DialogOneValue;seconds;text;seconds;segons;segundos;s
DialogCountResults;seconds;text;seconds;segons;segundos;s
DialogQualityTemporalQuality;seconds;label;Seconds;Segons;Segundos;s
DialogS3Bucket;secretKey;label;Secret Key:;Clau secreta:;Clave secreta:;s
alert;selectCategoriesColumn;text;Select a categories column.;Seleccioneu una columna de categories.;Seleccione una columna de categor°as.;si
alert;selectColumnToEvaluate;text;Select a column to evaluate.;Seleccioneu una columna per avaluar.;Seleccione una columna para evaluar.;si
alert;selectHeaderColumn;text;Select a header column.;Seleccioneu una columna de capáalera.;Seleccione una columna de cabecera.;si
alert;selectItemColumn;text;Select an item column.;Seleccioneu una columna d'elements.;Seleccione una columna de elementos.;si
alert;selectAtLeastOneCompleteness;text;Select at least one Completeness check.;Seleccioneu almenys una comprovaci¢ de completesa.;Seleccione al menos una comprobaci¢n de completitud.;si
alert;radarNeedThreeNumericCols;text;Select at least three numeric columns to use as radar axes.;Seleccioneu almenys tres columnes numäriques per utilitzar-les com a eixos del radar.;Seleccione al menos tres columnas numÇricas para utilizarlas como ejes del radar.;si
DialogAggregateColumns;selectAttributes;title;Select attributes:;Seleccioneu els atributs:;Seleccione los atributos:;s
STAOperations;SelectColumnsSTA;description;Select Columns;Selecciona columnes;Selecciona columnas;si
TableOperations;SelectColumnsTable;description;Select Columns;Selecciona columnes;Selecciona columnas;si
STAOperations;SelectResourceSTA;description;Select Resource;Selecciona un registre;Seleccionar un registro;si
STAOperations;SelectRowSTA;description;Select Row;Selecciona una fila;Selecciona una fila;si
TableOperations;SelectRowTable;description;Select Row;Selecciona una fila;Selecciona una fila;s
DialogSelectSortBy;criteria;title;Select the criteria for sorting:;Seleccioneu els criteris d'ordenaci¢:;Seleccione los criterios de ordenaci¢n:;s
DialogOneValue;selectValue;text;Select value to see the last value;Seleccioneu el valor per veure l'£ltim valor;Seleccione el valor para ver el £ltimo valor;s
DialogCreateColumns;selectOperation;title;Select your operation:;Seleccioneu l'operaci¢:;Seleccione la operaci¢n:;s
alert;columnMustHaveGeometry;text;Selected collumn must have a geometry type;La columna seleccionada ha de se de tipus geomätric;La columna seleccionada debe ser de tipo geomÇtrico;si
alert;uncertaintyColMustBeNumber;text;Selected uncertainly column must be of a 'number' type;La columna d'incertesa seleccionada ha de ser del tipus numäric;La columna de incertidumbre seleccionada debe ser de tipo numÇrico;si
clarification;selectingExpandingSta;text;Selecting and Expanding STA columns...;S'estan seleccionant i expandint les columnes STA...;Seleccionando y expandiendo las columnas STA...;s
clarification;selectingOgcResource;text;Selecting OGC resource...;S'estÖ seleccionant el recurs OGC...;Seleccionando el recurso OGC...;s
clarification;selectingOgcRow;text;Selecting OGC row...;S'estÖ seleccionant la fila OGC...;Seleccionando la fila OGC...;s
DialogUploadObservations;sensorInstance;label;Sensor instance id or name:;Identificador o nom de la instÖncia del Sensor:;Identificador o nombre de la instancia del Sensor:;s
DialogUploadObservations;sensorReference;label;Sensor reference or type:;Referäncia o tipus de Sensor:;Referencia o tipo de Sensor:;s
DialogSTAURL;titleSta;title;SensorThings API and STAplus;SensorThings API i STAplus;SensorThings API y STAplus;s
TableOperations;SeparateColumns;description;Separate Columns;Separa les columnes;Separa columnas;si
DialogImportJSON;separatedByComma;text;Separated by comma;Separades per coma;Separadas por coma;s
DialogSeparateColumns;separedNewColumns;label;separed into new columns;separades en columnes noves;separadas en columnas nuevas;s
DialogSeparateColumns;separedNewRecords;label;separed into new records;separades en registres nous;separadas en registros nuevos;s
DialogRadarPlot;series;label;Series;Säries;Series;s
DialogRadarPlot;seriesMode;title;Series mode:;Mode de säries:;Modo de series:;s
DialogAggregateColumns;decimalFigures;title;Set number of decimal figures:;Establiu el nombre de xifres decimals:;Establezca el n£mero de cifras decimales:;s
DialogColumnsCalculator;decimalFigures;title;Set number of decimal figures:;Establiu el nombre de xifres decimals:;Establezca el n£mero de cifras decimales:;s
DialogUploadObservations;severalPropsSingleCol;label;Several ObservedProperties of the same feature in a single column and in multiple rows;Diverses ObservedProperties de la mateixa caracter°stica en una sola columna i en diverses files;Varias ObservedPropertiess de la misma caracter°stica en una sola columna y en varias filas;s
chrome;share;button;Share;Comparteix;Compartir;s
clarification;sharingMeaningRedirect;text;Sharing Meaning. Redirected to NiMMbus (please authenticate and save).;S'estÖ compartint el significat. SRedireccionant cap a NiMMbus (autentiqueu-vos i deseu-lo).;Compartiendo el significado. Redireccionando hacia NiMMbus (autent°quese y gu†rdelo).;si
chrome;showRowNumbers;label;Show row numbers;Mostra els n£meros de les files;Mostrar los n£meros de las filas;s
DialogConfiguration;showStartNodeButtonsOnly;label;Show start node buttons only;Mostra nomÇs els botons del node inicial;Mostrar solo los botones del nodo inicial;s
TableOperations;Table;help;Shows a table of the dependent node in a dialog box. Since the table behind the active node is represented in the table area, the use of this operation is no longer recommended.;Mostra en un quadre de diÖleg la taula del node dependent. Com que la taula que hi ha darrere del node actiu es representa a l'Örea de taula, l'£s d'aquesta operaci¢ ja no Çs recomanable.;Muestra en un cuadro de di†logo la tabla del nodo dependiente. Dado que la tabla que hay detr†s del nodo activo se representa en el †rea de tabla, el uso de esta operaci¢n ya no es recomendable.;si
TableOperations;EditRecord;help;Shows and allows editing a record in the table of the related node. NOTE: If you are using data from a web service and you ask for data again, this change will be lost.;Mostra i permet editar els registres de la taula del node relacionat. NOTA: Si utilitzeu dades d'un servei web i torneu a demanar les dades, aquest canvi es perdrÖ.;Muestra y permite editar los registros de la tabla del nodo relacionado. NOTA: Si utiliza datos de un servicio web y vuelve a pedir los datos, este cambio se perder†.;si
TableOperations;Meaning;help;Shows and allows editing the semantics (definition and units of measure) of the table columns.;Mostra i permet editar la semÖntica (definici¢ i unitats de mesura) de les columnes de la taula.;Muestra y permite editar la sem†ntica (definici¢n y unidades de medida) de las columnas de la tabla.;si
STAOperations;ViewQuerySTA;help;Shows the completed URL that is used to make the query to obtain the data from a service or an API of the depended node in a dialog box. Since the URL behind the active node is always represented in the query and table area, the use of this operation is no longer recommended.;Mostra en un quadre de diÖleg l'URL complet que s'utilitza per fer la consulta per obtenir les dades d'un servei o d'una API del node dependent. Com que l'URL que hi ha darrere del node actiu sempre es representa a l'Örea de consulta i de taula, l'£s d'aquesta operaci¢ ja no Çs recomanable.;Muestra en un cuadro de di†logo la URL completa que se utiliza para hacer la consulta para obtener los datos de un servicio o de una API del nodo dependiente. Dado que la URL que hay detr†s del nodo activo siempre se representa en el †rea de consulta y de tabla, el uso de esta operaci¢n ya no es recomendable.;si
STAOperations;OneValueSTA;help;Shows the last posted value. This value is updated according to the time period you set. Requeres to be connected to another SensorThings API or a STAplus entity. If WebSub available, it subscribes to a topic, opens a websocket connection and waits for updates, if not, it generates a HTTP request every n seconds. Do not requre to connect to previous sort by time. This node can not be connected to other dependend nodes.;"Mostra l'£ltim valor publicat. Aquest valor s'actualitza segons el per°ode de temps que s'estableixi. Cal que estigui connectat a una altra entitat SensorThings API o STAplus. Si WebSub estÖ disponible, se subscriu a un tema, obre una connexi¢ websocket i espera actualitzacions; si no, genera una petici¢ HTTP cada n segons. No cal connectar-lo a una eina d'ordenaci¢ temporal. Aquest node no es pot connectar a altres nodes dependents.";"Muestra el £ltimo valor publicado. Este valor se actualiza seg£n el per°odo de tiempo que se establezca. Requiere estar conectado a otra entidad SensorThings API o STAplus. Si WebSub est† disponible, se suscribe a un tema, abre una conexi¢n websocket y espera actualizaciones; si no, genera una solicitud HTTP cada n segundos. No es necesario conectarlo a una herramienta de ordenaci¢n temporal. Este nodo no puede conectarse a otros nodos dependientes.";si
tableStatisticsVisualize;ImageViewer;help;Shows the pictures referenced by a column. Assumes that the content of the column are url to images supported by the browser (commonly in JPEG or PNG format).;Mostra les imatges referenciades d'una columna. Considera que el contingut de la columna s¢n URL d'imatges compatibles amb el navegador (habitualment en format JPEG o PNG).;Muestra las im†genes referenciadas de una columna. Supone que el contenido de la columna son URL de im†genes compatibles con el navegador (habitualmente en formato JPEG o PNG).;si
DialogFormatConsistency;signedDd;option;Signed Decimal Degrees ? e.g. +41.40338;Graus decimals amb signe ? p. ex. +41.40338;Grados decimales con signo ? p. ej. +41.40338;s
alert;signedOutError;text;Signed out error: {0};Error en tancar la sessi¢: {0};Error al cerrar sesi¢n: {0};si
alert;signedOutFrom;text;Signed out from {0}.;S'ha tancat la sessi¢ a {0}.;Se ha cerrado la sesi¢n en {0}.;si
alert;signinError;text;Signin error: {0};Error en l'inici de la sessi¢: {0};Error al iniciar sesi¢n: {0};si
alert;sizeNotIntegerUse200;text;Size is not an integer number. Using 200 instead;La mida no Çs un nombre enter. En el seu lloc, s'utilitzarÖ 200;El tama§o no es un n£mero entero. En su lugar, se utilizar† 200;si
alert;sizeOutOfRangeUse200;text;Size is out of the [2,2000] range. Using 200 instead;La mida Çs fora de l'interval [2,2000]. En el seu lloc, s'utilitzarÖ 200;El tama§o est† fuera del intervalo [2,2000]. En su lugar, se utilizar† 200;si
alert;transformationValuesBlock;text;Some value(s) of the data impide to excute this transformation.;Alguns valors de les dades impedeixen executar aquesta transformaci¢.;Algunos valores de los datos impiden ejecutar esta transformaci¢n.;si
STAOperations;SortBySTA;description;Sort by;Ordena per;Ordenar por;si
TableOperations;SortByTables;description;Sort by;Ordena per;Ordenar por;si
DialogQualityTemporalQuality;sortRecords;label;Sort records;Ordena els registres;Ordenar los registros;s
DialogScatterPlot;sortByX;label;Sort values by X;Ordena els valors per X;Ordenar los valores por X;s
DialogMultiCreateSTAINaturalist;specieIdByUser;label;Specie, identification by user;Espäcie, identificaci¢ per part de l'usuari;Especie, identificaci¢n por parte del usuario;s
DialogFormatConsistency;specificDigit;label;Specific digit;D°git espec°fic;D°gito espec°fico;s
DialogFormatConsistency;specificLetter;label;Specific letter;Lletra espec°fica;Letra espec°fica;s
DialogFormatConsistency;specificPrefix;label;Specific prefix;Prefix espec°fic;Prefijo espec°fico;s
TableOperations;SeparateColumns;help;Splits a column containing a JSON object into separated new columns and removes the original column.;Divideix una columna que contÇ un objecte JSON en noves columnes separades i elimina la columna original.;Divide una columna que contiene un objeto JSON en nuevas columnas separadas y elimina la columna original.;si
DialogSTAViewQuery;staQueryUrl;text;STA query URL:;URL de la consulta STA:;URL de la consulta STA:;s
DialogUploadObservations;staServiceUrl;label;STA service URL:;URL del servei STA:;URL del servicio STA:;s
STAOperationsType;Type;singular;STA tool;Eina STA;Herramienta STA;si
STAOperationsType;Type;plural;STA tools;Eines STA;Herramientas STA;si
DialogQualityTemporalQuality;stdDevTemporal;label;Standard deviation of the temporal column;Desviaci¢ estÖndard de la columna temporal;Desviaci¢n est†ndar de la columna temporal;s
DialogUploadIC;start;label;Start:;Inici:;Inicio:;s
DialogOneValue;stopRefresh;button;Stop refresh;Atura l'actualitzaci¢;Detener la actualizaci¢n;s
DialogCountResults;stopRefresh;button;Stop refresh;Atura l'actualitzaci¢;Detener la actualizaci¢n;s
STAOperations;SubscribeSTA;description;Subscribe and alert;Subscripci¢ i alerta;Suscripci¢n y alerta;si
